f1,f2,close,near-close+,close-mid+,mid+,open-mid+,back,central-or-back,rounded,vowel
1001.46960449,1393.00842285,0,0,0,0,0,1,1,1,ah
295.790008545,2161.58105469,0,0,0,0,0,1,1,1,ah
312.630615234,1891.23339844,0,0,0,0,0,1,1,1,ah
317.177032471,1916.11657715,0,0,0,0,0,1,1,1,ah
331.080505371,2309.1105957,0,0,0,0,0,1,1,1,ah
333.199737549,1862.06555176,0,0,0,0,0,1,1,1,ah
338.452758789,2293.56689453,0,0,0,0,0,1,1,1,ah
348.200012207,1933.18518066,0,0,0,0,0,1,1,1,ah
352.730010986,2190.12768555,0,0,0,0,0,1,1,1,ah
357.076080322,1859.39733887,0,0,0,0,0,1,1,1,ah
358.104125977,1912.7376709,0,0,0,0,0,1,1,1,ah
358.755371094,1886.83312988,0,0,0,0,0,1,1,1,ah
359.633758545,2328.61010742,0,0,0,0,0,1,1,1,ah
360.695465088,1414.77758789,0,0,0,0,0,1,1,1,ah
362.72052002,1663.09057617,0,0,0,0,0,1,1,1,ah
363.392913818,1864.11682129,0,0,0,0,0,1,1,1,ah
363.892059326,1342.46582031,0,0,0,0,0,1,1,1,ah
364.250091553,2110.79492188,0,0,0,0,0,1,1,1,ah
364.485778809,1886.50817871,0,0,0,0,0,1,1,1,ah
366.61416626,1635.60888672,0,0,0,0,0,1,1,1,ah
369.886993408,1748.28308105,0,0,0,0,0,1,1,1,ah
376.690673828,1715.88696289,0,0,0,0,0,1,1,1,ah
382.521728516,1656.87512207,0,0,0,0,0,1,1,1,ah
382.590606689,1817.37353516,0,0,0,0,0,1,1,1,ah
383.34765625,1865.03393555,0,0,0,0,0,1,1,1,ah
385.87020874,1868.38269043,0,0,0,0,0,1,1,1,ah
388.708404541,1876.70397949,0,0,0,0,0,1,1,1,ah
389.491699219,1713.31164551,0,0,0,0,0,1,1,1,ah
392.09576416,1891.53564453,0,0,0,0,0,1,1,1,ah
393.485229492,1913.46350098,0,0,0,0,0,1,1,1,ah
394.328643799,1804.94848633,0,0,0,0,0,1,1,1,ah
394.345794678,1783.32775879,0,0,0,0,0,1,1,1,ah
394.958831787,1765.63134766,0,0,0,0,0,1,1,1,ah
395.304870605,1788.23791504,0,0,0,0,0,1,1,1,ah
397.857177734,1810.51928711,0,0,0,0,0,1,1,1,ah
399.085540771,1811.95263672,0,0,0,0,0,1,1,1,ah
402.203521729,1611.37915039,0,0,0,0,0,1,1,1,ah
402.666107178,1933.97583008,0,0,0,0,0,1,1,1,ah
403.761474609,1903.1027832,0,0,0,0,0,1,1,1,ah
405.053955078,1745.47912598,0,0,0,0,0,1,1,1,ah
405.798950195,1838.30541992,0,0,0,0,0,1,1,1,ah
407.026794434,1632.8269043,0,0,0,0,0,1,1,1,ah
413.018859863,1654.17236328,0,0,0,0,0,1,1,1,ah
415.998840332,1603.70678711,0,0,0,0,0,1,1,1,ah
416.013793945,1761.6541748,0,0,0,0,0,1,1,1,ah
416.797790527,1637.78283691,0,0,0,0,0,1,1,1,ah
417.367126465,1726.62841797,0,0,0,0,0,1,1,1,ah
418.841400146,1787.96289062,0,0,0,0,0,1,1,1,ah
419.245483398,1776.30651855,0,0,0,0,0,1,1,1,ah
419.744354248,1736.17480469,0,0,0,0,0,1,1,1,ah
420.165313721,1728.61474609,0,0,0,0,0,1,1,1,ah
420.269226074,1626.82641602,0,0,0,0,0,1,1,1,ah
422.015106201,1895.20251465,0,0,0,0,0,1,1,1,ah
422.852020264,1741.24780273,0,0,0,0,0,1,1,1,ah
423.109710693,1797.29125977,0,0,0,0,0,1,1,1,ah
424.258972168,1702.99230957,0,0,0,0,0,1,1,1,ah
424.911254883,1889.76147461,0,0,0,0,0,1,1,1,ah
425.565551758,1688.34899902,0,0,0,0,0,1,1,1,ah
426.141906738,1615.56311035,0,0,0,0,0,1,1,1,ah
427.316040039,1737.08569336,0,0,0,0,0,1,1,1,ah
427.406707764,1684.73327637,0,0,0,0,0,1,1,1,ah
427.959991455,1769.50195312,0,0,0,0,0,1,1,1,ah
427.988739014,1787.06408691,0,0,0,0,0,1,1,1,ah
428.285614014,1450.34643555,0,0,0,0,0,1,1,1,ah
430.591247559,1832.7598877,0,0,0,0,0,1,1,1,ah
431.207977295,1798.07373047,0,0,0,0,0,1,1,1,ah
433.112762451,1825.98706055,0,0,0,0,0,1,1,1,ah
433.132568359,1688.62158203,0,0,0,0,0,1,1,1,ah
433.268493652,1628.18884277,0,0,0,0,0,1,1,1,ah
434.315185547,1551.28295898,0,0,0,0,0,1,1,1,ah
435.830078125,1679.54333496,0,0,0,0,0,1,1,1,ah
435.999542236,1823.25280762,0,0,0,0,0,1,1,1,ah
437.519989014,1351.45959473,0,0,0,0,0,1,1,1,ah
438.067901611,1533.36474609,0,0,0,0,0,1,1,1,ah
438.261566162,1709.01721191,0,0,0,0,0,1,1,1,ah
440.264068604,1722.85412598,0,0,0,0,0,1,1,1,ah
441.05065918,1861.53649902,0,0,0,0,0,1,1,1,ah
441.736358643,1822.66455078,0,0,0,0,0,1,1,1,ah
444.610900879,1783.71191406,0,0,0,0,0,1,1,1,ah
445.465667725,1773.2175293,0,0,0,0,0,1,1,1,ah
445.613861084,1073.73327637,0,0,0,0,0,1,1,1,ah
446.854431152,1541.65686035,0,0,0,0,0,1,1,1,ah
448.65045166,1765.52392578,0,0,0,0,0,1,1,1,ah
449.443786621,1801.85229492,0,0,0,0,0,1,1,1,ah
451.405883789,1600.05004883,0,0,0,0,0,1,1,1,ah
452.470306396,1401.98742676,0,0,0,0,0,1,1,1,ah
457.04095459,1780.42626953,0,0,0,0,0,1,1,1,ah
457.385131836,1772.68286133,0,0,0,0,0,1,1,1,ah
457.38973999,1680.71862793,0,0,0,0,0,1,1,1,ah
459.073547363,1688.34936523,0,0,0,0,0,1,1,1,ah
460.170532227,1505.74938965,0,0,0,0,0,1,1,1,ah
460.434692383,1665.5189209,0,0,0,0,0,1,1,1,ah
461.037506104,1620.77490234,0,0,0,0,0,1,1,1,ah
462.301055908,1850.63549805,0,0,0,0,0,1,1,1,ah
462.485534668,1526.66833496,0,0,0,0,0,1,1,1,ah
462.710968018,1702.40612793,0,0,0,0,0,1,1,1,ah
463.84362793,1768.30761719,0,0,0,0,0,1,1,1,ah
464.036376953,1584.4465332,0,0,0,0,0,1,1,1,ah
464.378417969,1726.54858398,0,0,0,0,0,1,1,1,ah
465.778686523,1753.75646973,0,0,0,0,0,1,1,1,ah
466.477539062,1875.46240234,0,0,0,0,0,1,1,1,ah
468.140136719,1309.61340332,0,0,0,0,0,1,1,1,ah
468.891998291,1566.45690918,0,0,0,0,0,1,1,1,ah
473.479492188,1643.1661377,0,0,0,0,0,1,1,1,ah
475.025543213,1564.91003418,0,0,0,0,0,1,1,1,ah
476.685760498,1662.81555176,0,0,0,0,0,1,1,1,ah
479.332885742,1393.2512207,0,0,0,0,0,1,1,1,ah
482.215484619,1742.8347168,0,0,0,0,0,1,1,1,ah
489.798980713,1574.44177246,0,0,0,0,0,1,1,1,ah
498.319641113,1509.01074219,0,0,0,0,0,1,1,1,ah
498.590057373,1701.41479492,0,0,0,0,0,1,1,1,ah
499.095703125,1530.44677734,0,0,0,0,0,1,1,1,ah
500.865997314,1475.09069824,0,0,0,0,0,1,1,1,ah
502.816833496,1589.01013184,0,0,0,0,0,1,1,1,ah
503.202850342,1620.66125488,0,0,0,0,0,1,1,1,ah
511.628417969,1599.4342041,0,0,0,0,0,1,1,1,ah
513.969177246,1465.4041748,0,0,0,0,0,1,1,1,ah
521.845153809,1669.39257812,0,0,0,0,0,1,1,1,ah
522.10168457,1320.83044434,0,0,0,0,0,1,1,1,ah
538.911499023,1811.62805176,0,0,0,0,0,1,1,1,ah
542.891479492,1652.06079102,0,0,0,0,0,1,1,1,ah
543.24029541,1804.42626953,0,0,0,0,0,1,1,1,ah
546.338256836,1858.1105957,0,0,0,0,0,1,1,1,ah
568.598632812,1405.97497559,0,0,0,0,0,1,1,1,ah
618.98840332,1849.82873535,0,0,0,0,0,1,1,1,ah
619.001831055,1461.85412598,0,0,0,0,0,1,1,1,ah
637.971252441,1347.68969727,0,0,0,0,0,1,1,1,ah
643.311462402,1376.55822754,0,0,0,0,0,1,1,1,ah
646.613708496,1251.06726074,0,0,0,0,0,1,1,1,ah
648.278991699,1297.47045898,0,0,0,0,0,1,1,1,ah
648.607421875,1775.88220215,0,0,0,0,0,1,1,1,ah
657.385192871,1432.05993652,0,0,0,0,0,1,1,1,ah
660.429504395,1536.74047852,0,0,0,0,0,1,1,1,ah
666.674621582,1794.58776855,0,0,0,0,0,1,1,1,ah
670.250305176,1366.71948242,0,0,0,0,0,1,1,1,ah
671.815185547,1459.13024902,0,0,0,0,0,1,1,1,ah
673.135192871,1715.07128906,0,0,0,0,0,1,1,1,ah
674.358398438,1380.68078613,0,0,0,0,0,1,1,1,ah
679.857727051,1351.75170898,0,0,0,0,0,1,1,1,ah
683.713867188,1413.23168945,0,0,0,0,0,1,1,1,ah
683.870849609,1381.31542969,0,0,0,0,0,1,1,1,ah
686.881347656,1423.78894043,0,0,0,0,0,1,1,1,ah
702.178222656,1388.49462891,0,0,0,0,0,1,1,1,ah
704.904296875,1267.98706055,0,0,0,0,0,1,1,1,ah
705.311157227,1652.05212402,0,0,0,0,0,1,1,1,ah
711.291625977,1783.39538574,0,0,0,0,0,1,1,1,ah
715.617858887,1200.42651367,0,0,0,0,0,1,1,1,ah
727.502624512,1541.49584961,0,0,0,0,0,1,1,1,ah
729.721069336,1325.86083984,0,0,0,0,0,1,1,1,ah
730.921447754,1660.1628418,0,0,0,0,0,1,1,1,ah
748.076599121,1427.10375977,0,0,0,0,0,1,1,1,ah
748.918457031,1643.00097656,0,0,0,0,0,1,1,1,ah
749.937072754,1646.71191406,0,0,0,0,0,1,1,1,ah
749.938659668,1751.66381836,0,0,0,0,0,1,1,1,ah
762.906066895,1499.12426758,0,0,0,0,0,1,1,1,ah
763.285400391,1449.81408691,0,0,0,0,0,1,1,1,ah
764.008544922,1405.24560547,0,0,0,0,0,1,1,1,ah
767.371887207,1717.80932617,0,0,0,0,0,1,1,1,ah
777.351257324,1469.27404785,0,0,0,0,0,1,1,1,ah
793.41394043,1583.00146484,0,0,0,0,0,1,1,1,ah
793.841064453,1313.00927734,0,0,0,0,0,1,1,1,ah
805.445251465,1315.1895752,0,0,0,0,0,1,1,1,ah
807.90246582,1671.14538574,0,0,0,0,0,1,1,1,ah
812.200622559,1476.38183594,0,0,0,0,0,1,1,1,ah
819.37322998,1445.14624023,0,0,0,0,0,1,1,1,ah
824.063842773,1627.02185059,0,0,0,0,0,1,1,1,ah
855.150634766,1632.59680176,0,0,0,0,0,1,1,1,ah
870.354248047,1502.19470215,0,0,0,0,0,1,1,1,ah
875.013000488,1322.17004395,0,0,0,0,0,1,1,1,ah
875.257385254,1450.23144531,0,0,0,0,0,1,1,1,ah
898.301147461,1510.15087891,0,0,0,0,0,1,1,1,ah
913.99230957,1731.02624512,0,0,0,0,0,1,1,1,ah
920.842834473,1675.26123047,0,0,0,0,0,1,1,1,ah
922.020751953,1460.14318848,0,0,0,0,0,1,1,1,ah
937.130737305,1564.55224609,0,0,0,0,0,1,1,1,ah
381.109863281,772.107177734,0,0,0,0,1,1,1,1,ao
382.500549316,770.784545898,0,0,0,0,1,1,1,1,ao
384.192321777,779.954833984,0,0,0,0,1,1,1,1,ao
384.30960083,752.953674316,0,0,0,0,1,1,1,1,ao
386.642150879,772.087768555,0,0,0,0,1,1,1,1,ao
387.954498291,790.173828125,0,0,0,0,1,1,1,1,ao
391.226074219,790.437805176,0,0,0,0,1,1,1,1,ao
391.3956604,746.698303223,0,0,0,0,1,1,1,1,ao
391.767486572,789.874084473,0,0,0,0,1,1,1,1,ao
392.380554199,763.795654297,0,0,0,0,1,1,1,1,ao
392.946716309,816.709106445,0,0,0,0,1,1,1,1,ao
394.912506104,789.811706543,0,0,0,0,1,1,1,1,ao
396.374755859,738.285949707,0,0,0,0,1,1,1,1,ao
396.558837891,804.721862793,0,0,0,0,1,1,1,1,ao
398.067565918,789.387023926,0,0,0,0,1,1,1,1,ao
398.198852539,787.843200684,0,0,0,0,1,1,1,1,ao
398.985015869,785.207824707,0,0,0,0,1,1,1,1,ao
399.099700928,796.015441895,0,0,0,0,1,1,1,1,ao
399.368225098,785.124389648,0,0,0,0,1,1,1,1,ao
399.467010498,786.805847168,0,0,0,0,1,1,1,1,ao
399.660552979,771.20489502,0,0,0,0,1,1,1,1,ao
399.768432617,796.054992676,0,0,0,0,1,1,1,1,ao
400.002349854,801.15234375,0,0,0,0,1,1,1,1,ao
400.431182861,794.695617676,0,0,0,0,1,1,1,1,ao
400.978546143,799.727478027,0,0,0,0,1,1,1,1,ao
401.940185547,837.036865234,0,0,0,0,1,1,1,1,ao
402.317260742,798.304138184,0,0,0,0,1,1,1,1,ao
402.988525391,809.893920898,0,0,0,0,1,1,1,1,ao
405.078033447,809.864562988,0,0,0,0,1,1,1,1,ao
406.149017334,784.554931641,0,0,0,0,1,1,1,1,ao
406.74621582,806.798950195,0,0,0,0,1,1,1,1,ao
407.473876953,854.469421387,0,0,0,0,1,1,1,1,ao
407.599945068,813.679077148,0,0,0,0,1,1,1,1,ao
408.916412354,807.164245605,0,0,0,0,1,1,1,1,ao
410.040405273,825.034973145,0,0,0,0,1,1,1,1,ao
410.423614502,759.610595703,0,0,0,0,1,1,1,1,ao
412.187225342,751.15032959,0,0,0,0,1,1,1,1,ao
412.528808594,786.328369141,0,0,0,0,1,1,1,1,ao
412.658660889,858.445678711,0,0,0,0,1,1,1,1,ao
414.262054443,830.787841797,0,0,0,0,1,1,1,1,ao
414.564849854,818.988342285,0,0,0,0,1,1,1,1,ao
415.758789062,852.515869141,0,0,0,0,1,1,1,1,ao
416.032287598,844.506652832,0,0,0,0,1,1,1,1,ao
416.548675537,858.477050781,0,0,0,0,1,1,1,1,ao
416.759613037,878.480651855,0,0,0,0,1,1,1,1,ao
418.558502197,843.322265625,0,0,0,0,1,1,1,1,ao
418.690795898,818.059020996,0,0,0,0,1,1,1,1,ao
419.488952637,852.524536133,0,0,0,0,1,1,1,1,ao
420.458221436,861.114868164,0,0,0,0,1,1,1,1,ao
421.113800049,864.827514648,0,0,0,0,1,1,1,1,ao
422.457244873,850.302307129,0,0,0,0,1,1,1,1,ao
422.726837158,855.097961426,0,0,0,0,1,1,1,1,ao
422.779327393,881.481079102,0,0,0,0,1,1,1,1,ao
